"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21972","7. Verify sucessfull weekly task Weekly Check-In submission  ","","Tue Sep 09 14:41:59 BDT 2025","passed","Tue Sep 09 14:42:21 BDT 2025","","Auth Test","",""
"","9313","8. Verify sucessful Record weight task or PHQ9/GAD7 submission","","Tue Sep 09 14:42:21 BDT 2025","passed","Tue Sep 09 14:42:31 BDT 2025","","Auth Test","",""
"","117340","5. Verify sucessfull task Capture Vital submission","","Tue Sep 09 14:39:47 BDT 2025","passed","Tue Sep 09 14:41:44 BDT 2025","","Auth Test","",""
"","8282","10. Verify sucessfull navigation to My Health screen","","Tue Sep 09 14:42:53 BDT 2025","passed","Tue Sep 09 14:43:02 BDT 2025","","Auth Test","",""
"","16816","4. Verify sucessfull scroll up","","Tue Sep 09 14:39:30 BDT 2025","passed","Tue Sep 09 14:39:47 BDT 2025","","Auth Test","",""
"","5203","12. Verify sucessfull navigation to Journal screen","","Tue Sep 09 14:43:23 BDT 2025","passed","Tue Sep 09 14:43:28 BDT 2025","","Auth Test","",""
"","15300","6. Verify sucessfull Explore Health task submission","","Tue Sep 09 14:41:44 BDT 2025","passed","Tue Sep 09 14:41:59 BDT 2025","","Auth Test","",""
"","27910","1. Verify sucessfull MFA user login with Biometric","","Tue Sep 09 14:38:14 BDT 2025","passed","Tue Sep 09 14:38:42 BDT 2025","","Auth Test","",""
"","22841","9. Verify sucessfull visit Wellness and Selfcare ","","Tue Sep 09 14:42:31 BDT 2025","passed","Tue Sep 09 14:42:53 BDT 2025","","Auth Test","",""
"","21438","11. Verify sucessfull navigation to Nutrition screen","","Tue Sep 09 14:43:02 BDT 2025","passed","Tue Sep 09 14:43:23 BDT 2025","","Auth Test","",""
"","33520","3. Verify sucessfull scroll down and navigation to learning content","","Tue Sep 09 14:38:56 BDT 2025","passed","Tue Sep 09 14:39:30 BDT 2025","","Auth Test","",""
"","13976","2. Verify sucessfull navigation to user profile","","Tue Sep 09 14:38:42 BDT 2025","passed","Tue Sep 09 14:38:56 BDT 2025","","Auth Test","",""
"","7387","14. Verify sucessfull navigation to Notification screen","","Tue Sep 09 14:43:41 BDT 2025","passed","Tue Sep 09 14:43:48 BDT 2025","","Auth Test","",""
"","12340","15. Verify sucessfull signout from the app ","","Tue Sep 09 14:43:48 BDT 2025","passed","Tue Sep 09 14:44:01 BDT 2025","","Auth Test","",""
"","12573","13. Verify sucessfull Journal submission","","Tue Sep 09 14:43:28 BDT 2025","passed","Tue Sep 09 14:43:41 BDT 2025","","Auth Test","",""
